name,channel_id,description
5STAR NAIROBI MUSIC ACADEMY,UCjry95m1BJizBQM8CB-tcng,"We are the best Music School in Kenya committed to fulfilling dreams and hidden talents.We offer Guitar, Piano, Vocals, Violin, Saxophone, Drums, Deejay and Production lessons.
Location; Development House Moi Avenue 12th floor.
Nairobi, Kenya.
+254722 831589,

Ruth Matete Music Academy was founded by Tusker Project Fame 5 winner and acclaimed musician Ruth Matete. This is the best music school in Kenya. Come learn how to play musical instruments and voice coaching from the best music instructors in Kenya.

We also have a Studio where you can produce music both in Audio and Video format. 

Follow us on social media

https://www.facebook.com/ruthmatetemusicacademy/
http://matetemusicacademy.com/
https://www.instagram.com/ruthmatetemusicacademy/
https://twitter.com/hashtag/RuthMateteMusicAcademy?src=hash

Ruth Matete Music Academy | There is a star in you."
Abbas Kubaff,UCf5bBfrJIESRONRADe7XBtA,"The official home channel of Kenyan hip hop artist Abbas Kubaff. From the days of K-South to the present, Abbas' music videos are all bought together in one place for fans to enjoy."
ABSENCE OF LIGHT,UCfshy73dZJqp-OmSGPZ_gjg,"ABSENCE OF LIGHT is an Extreme Metal Act, Consisting a trio from the Indian Ancestry, Playing a mix of Death/Black Metal."
Akothee Kenya,UC8NZHJl-gfDZxbBvmL0vCXQ,Independent African Queen ready to take you places both emotionally & physically with her performances. For bookings: bookings@akothee.com
antoneosoul,UC_VMOo10q4SUmxkNLdcIqzw,"Kenya’s finest vocalist 
Award Winning Musician
Tv & Radio Personality
Provocateur 
Fashion Icon"
Arrow Bwoy,UC4JBX96jt6EtoRhJyGglGKQ,
Atemi Music,UC2MogzH-9tzMa6GLdvupuUw,"Atemi is a Vocal artiste, budding pianist, teacher, lover of all things chocolate, daughter of the most high God. 
Welcome To My Channel I Hope You Will Enjoy The Music"
ATL Entertainment Kenya,UCDRiMPAp9qKtWQJfspqjcAA,"ATL ENT is a music and video production house based in Kasarani (Hunters) - Nairobi. 
For audio or video production contact Richie on: +254-714525296"
Atwal Music,UC9E5ER8gFtGYwoebQaqkktQ,"Atwal Music is a label dedicated to providing each and every fan with a state of the art, enjoyable experience."
Avril Kenya,UCJNJg2FZ0MXNo3R383ASXQA,"Singer, Songwriter, Recording and Performing Artist"
Bahati Kenya,UC2O6vD7gjgZIXKVegD6qOHA,
Best Of 2000's Kenyan Music,UC5idveCOr4blEK4F6-RRuTA,"Here you'll find all the Kenyan urban hit songs going back to the early 2000's.Genge,Kapuka,Rap,RnB,you name it we've got it up on the channel.We take audio quality seriously thus all the tracks you'll find on our channel are nothing but studio quality.So sit back,relax and feel the nostalgia."
Blinky Bill Music,UCebDdgU4ruSBMHuPqCfmk8A,
BlinkyBillVEVO,UCIK2gJ5x8QNEKX946G4HRsw,
Bobby Mapesa,UCFGNQ6PpRlmLEIUHm7KDCog,
boombavideo,UCdY_sps688Fs9qOcTSLAUcg,"THESE ARE A SAMPLE OF  MUSIC VIDEOS PRODUCED BY BOOMBA PICTURES ,DIRECTED BY THOME"
Camp Mulla Official,UCbXdW58VINg02xBnikaSbDQ,"Camp Mulla is an alternative hip hop group originating from and based in Nairobi, Kenya. The group rose to prominence with the release of their debut single ""Party Don't Stop"" on 31 August 2010, with that and their subsequent works earning them a nomination for Best International Act (Africa) at the 2012 BET Awards. Following their release of their debut studio album, Funky Town, the group members seperated to pursue solo careers. Following suit, fast forward  2017, Camp Mulla members reunite to create a new music album and projects for the fans. #Mulla17"
Cece Sagini,UCrU1i4fddBBXhQkNygqsdDw,The official YouTube channel for Cece Sagini. Download her latest Single 9 to 5
Charisma TV,UCaTYJcqWO4Y9e_-2nsDlmYA,Kenyan musician Fidel Shammah known as Charisma aka Luhya heat and Mr Sababisha is a pop artist who loves to fuse different influences he had growing up to his very own eclectic African sound. This is his audio and visual space
COLLO MFALME,UCxlKBom1kF0rn-OLxQDp0wA,Established in Faith
COOLA GANG,UCguymwiqiOWgLJ_QtHr3OPQ,4BARZ/COOLAGANG
CoolaGangVEVO,UCBNxnXKcF76pm7SQlIfYJBw,
Cosmic Homies,UCmcEa1QjVJFZkI3VaqfO4Pg,
Cr3wTeflonVEVO,UCpOqLGX8PIn2XmnrHlJQ1uw,
crystalaxismusic1,UCqZaIBe6ihpJ8esDGFvrgRA,African punk band from Kenya here to tell the truth about the world and people as a whole.
Dan Aceda,UC924kCgLPht5dr-D8wDQk4A,
DanAcedaVEVO,UCdraYXAXeagVLY7jMW21g9Q,
DandoraMusic,UC5KUKS7EO0gNJUBTh7GDWoA,"Dandora Music is a group of young, passionate, energetic, creative and talented musicians from Dandora, Nairobi-Kenya. Their musical journey began in the year 2012 after successfully graduating from Dandora Music School. Being the first students to graduate from the music school, they formed a group and called themselves ""Dandora Music"". The group consists of 5 boys and 1 girl. Out of the 6 members, 2 are adults: Francis Demesi aka Franso Kenya and Chris Oyola aka Krizey. The rest are teenagers, between the ages of 13- 15 years old. All the members of the group were born and raised in Dandora, growing up in harsh conditions faced with extreme poverty as they were from low-income families striving to make ends meet."
Dela,UC8g0U8zvumFRkdy_ZQu3MqQ,"Dela is a Kenyan afro pop musician. She is the singer of such hit songs as Weche Tek and Ulivyo which have been very popular with lovers of African music.

She is also a passionate dancer.

This Channel, Delamuziki, is where Dela shares her journey and passion for music and dance."
DJ Joe Mfalme,UCkGYj_u6XD788AoNWcKmwZQ,"I AM THE PARTY
#JoeMfalmeLive
Connecting people through music."
DNA_Mister Dreams,UC_0JiwhK7DwE5Q-NVRuZrgw,
Eko Dydda,UCpsWoj5nDEimQCQhDpyOnEg,Me
Elizabeth Nahna,UCsoY_meGQS__6p1F3HfHJUQ,
enos olik,UCX-9DftA7FWtGC4nZpcZlYw,"Film maker,D.O.P,Songwriter,VFX Artist,Cinematographer and Photographer"
Essen Music,UC9mlwA7H2AbdTX7KeZbKdfw,"Essen Music is Kenya's Premier Record Label dedicated to transforming the Kenyan musical landscape one hit song at a time. We truly believe that Kenyan music has immense potential and that Kenyan musicians are among the best in the world. We therefore want to be a part of taking Kenyan music to international standards. Our artists are diverse, gifted in Swahili RnB, Afro Pop, Afro Beat, Bongo Flava and Hip Hop among others. Watch out for the Kenyan musical projects we are dropping in 2018"
ETHIC ENTERTAINMENT,UCOEK9oW_VYDHbX3qwT4JMyQ,
Fena Gitu,UCmBsqNZEs2KF7PfZvXLd69A,The official channel for music and all music related content by the fenamenal woman Fena Gitu.
Finalkut,UCAbKebxk_lS4ABE7GlJBdfg,Dj Finalkut's Official YouTube Channel. Discover the Freshest HipHop Songs In Africa.
Fred Ombako,UCJfJXTXgyCIa-Z2djYo8OZg,"This channel is all about music. Music from the Western side of Kenya, mostly Luo and luhya songs. Thus, you are welcome here for benga, rhumba, isikuti, nyatiti and ohangla. If you are an artist and you would like your music shared to the world for purposes of marketing yourself, reach out to me and I will help you with that, free of charge. If you know any artist whose music you like and would like it online, let me know and I will arrange to avail it here. New artists are most welcome on this platform to market their music."
Gabu P-Unit Official,UCxz3XPcP8TZ-FSWfsYGCiAA,
GILAD,UCaSAaM_y6bOX0DIy_Xry1Mg,"GILAD (Gilad Millo) is an Israeli-Kenyan award winning artists who is best known for his Swahili love songs. Nick named 'King of Love' & 'Balozi Wamapenzi' GILAD is a two time AFRIMA award winner bringing home to Kenya the Best Male in Inspirational Music & the Best Artiste in African Rock awards at the 2017 All Africa Music Awards held in Lagos, Nigeria. A former Israeli Diplomat & corporate executive, who turned full-time musician in 2015 after releasing his debut single ‘Unajua’ ft Kenyan diva Wendy Kimani. He has since released a full 16-track album entitled ‘ASANTE’. GILAD has collaborated with artists such as Grammy Award Winner Miri Ben-Ari in addition to some of Kenya's biggest artists, crossing into Tanzania and Uganda as well."
Grandpa Government,UC8Ji9hg-tHE2TCY9Ar68MSQ,
H_art the Band Official,UCFojdS6BpyQwOBeo0I2WNpQ,Where the H_ART lives 💛💙💛
iam frasha,UCgtL7Sr5oEtdRges7sz9hyQ,
JAMHURI EVENTS,UCYYjtJ0AV5Qh52cYvpbtNVg,"Celebrating and sharing African talents with the rest of the world. 
Email : Jamhurifestival@gmail.com
#JamhuriJamSessions

Follow: @jamhurifestival on instagram and Twitter"
JuaCaliGenge,UC9RpPbjGvopVlRQsBAmepjw,I was born Paul Nunda on the 12th of September 1979.I started rapping when I was in Jamhuri high school but I was not that actively involved in music.After finishing school in 1998 thats when I got active into music.I hooked up with Clemo my childhood friend and started calif records in the year 2000.At first I was meant to be a producer and look for guys who would rap.We hooked up with a few guys but things did not work out coz they did not have faith in us.So with pressure from clemo and a few friends I was forced to pick up the mic myself.And in the year 2001 'JUACALI' was born.Basically the name 'JUACALI' comes from my estate. It simply means 'know California' coz so many guys dont know where calif is.I released my first song 'RUKA' a dedication to Calif the same year which to our surprise went on to top the charts
justabandwidth,UCjozfkyuA4nrl71Z5rmC8Sw,"Just A Band - an African electro-pop and visual arts collective. Find out more at http://www.just-a-band.com

Copyright © 2007 - 2014, Just A Band. All Rights Reserved."
Kagwe Mungai,UCX2yZw_y5dGZyuv6zP6lajw,www.kagwemungai.com
KALI,UC_t3qgbGdBjyG_2aP8f1HpQ,Official YouTube Channel of KALI.
kamata group,UCBh4YoTwU0jbT_36E7jVrNw,
Kato Change,UC4utEUn3UQ--zKVPwK-8YRQ,"Kato Change is a self-taught guitarist whose technique was nurtured by an
emerging online community of musicians on YouTube. His self-directed
style draws from a heritage of jazz legends as well as African, Flamenco,
Blues and rock. Kato has been a fellow in several international artist
residencies including OMI (New York) August 2016, Sacatar (Brazil) Jan-
Feb 2017 and U.S Department of State's One beat program. The residency
and tour brings together musical leaders from around the world to develop a
global understanding through collaboration and artistic excellence. He has
been the Lead guitarist in African projects; Tusker Project Fame and Coke
Studio Africa. He has played with Salif Keita, Seun Kuti, King Sunny Ade,
Neyo, Aloe Blacc, Trey Songz, Yemi Alade and Fally Ipupa among others.
In December 2015, Kato released his debut album, 'The Change Experience';
a collaborative journey, with each artist sharing a unique perspective on
creating music."
KAYVO KFORCE,UCvfY3VETjJZVzy3pumPIQwA,K E N Y A N    R A P P E R  👑
KETEBULMUSIC,UCqU9TmbuHV09Quhgrf7L2HQ,
Kevin Grands,UCvIOx_EFS_I3EvAsuDdYU2A,"Kevin Grands is a rap/hip-hop recording artist from Nairobi, Kenya, under the independent label ID37 Music."
Khaligraph Jones,UCRRSCAz5VJQqJHAIPgFVCxw,
