name,description,channel_id,date_subscribed
Official2Baba,"This is the official and authentic youtube channel for 2Baba.
Music videos, audio, B-T-S, Live Performances.

Who talks about the G.O.A.T in the African music industry without mentioning the Afrobeats icon and legendary 2Baba?

Born as a commoner, raised in the smallest of towns, inspired by the drive to produce great sounds and good music, groomed into the finest of musicians in the history of Africa, is the renowned Afrobeats icon and popstar Innocent Ujah Idibia popularly known as 2baba.

2baba, a Nigerian singer, songwriter, record producer, and entrepreneur is widely known as one of Nigeria’s most outstanding musicians of all time. Whose style of music is characterized by a unique vocal range, lyrical depth, and longevity which has contributed immensely to the rise in popularity of the Nigerian music industry since the 2000s.

The Name 2Baba to some, the name bears the weight of an icon in the African music scene, to others the name posits his status as a father and a chieftain.",UC-16fxcFZvJUMo-zMEn8Akg,2018-04-25T23:31:31.698225Z
Savanna FGC,"The official YouTube channel of Savanna FGC, the home of fighting games on Koloseum.",UC-1F3VkReloUOCIa3MC_v5Q,2019-11-16T19:59:35.060829Z
Carly Rae Jepsen,EMOTION 10 Year Anniversary Edition Out 10/17 + Listen to “More” now! https://linktr.ee/carlyraejepsen,UC-4NAdFIP6h9BmtGUFL94Pg,2018-04-17T01:10:48.848064Z
French Montana,"Official Channel of French Montana.

🔔 Subscribe to French Montana's channel: https://bit.ly/3NgM8AR
Pre-order Coke Wave 3.5: Narcos out Jan 9 on all platforms
https://frenchmontana.lnk.to/CokeWaveNarcos

Follow French Montana: 
Website: www.frenchmontanamusic.com
Instagram: https://www.instagram.com/frenchmontana/
Facebook:https://www.facebook.com/FrenchMontanaOfficial/
Twitter: https://twitter.com/FrencHMonTanA
Snapchat: https://www.snapchat.com/add/frenchmontana?locale=en-US
TikTok: https://www.tiktok.com/@frenchmontana?lang=en
All Platforms-https://frenchmontana.komi.io",UC-4mIX9ls8ROVk9ApfeYf5w,2018-04-10T12:38:05.302451Z
Melvin Gregg,,UC-5PffJnOZrSLgV6Ur2UUfw,2016-02-23T06:21:40Z
Enrique Iglesias,"Official and ONLY YouTube! Original version of Space In My Heart 🫶
Listen: https://EnriqueIglesias.lnk.to/SpaceInMyHeart",UC-6czyMkxDi8E8akPl0c7_w,2018-04-05T12:21:02.404235Z
KYKI,,UC-7h_uzTvfOo5DgT5hyJVTw,2016-11-21T14:49:56Z
Katy Perry,"Katy Perry on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC-8Q-hLdECwQmaWNwXitYDw,2018-04-03T14:26:02.893319Z
Yo Gotti,"Insight, integrity and influence. Yo Gotti has become one of hip-hop's most respected street griots just by doing what he's always done; speaking the truth on his records and being relentless with serving his product. This fall he commences a brand new business venture with the release of his CMG/Epic records debut I Am. 
""I Am is an adlib I started using a few years ago,"" the Memphis magnate began to explain. ""It fits perfectly. I am real, I am a hustler, I am the streets, I am a business man, I am a father, I am a brother, I am success.""",UC-BN_2GM8EEd6w03EHyvtmw,2018-04-11T22:58:21.479726Z
Tyga,Tyga official YouTube channel,UC-Eh1lR_tWVtv9AvxLybMtQ,2018-04-11T22:58:21.584226Z
Practical Reporting Inc.,,UC-G1HjpzEW1TaOy4Kr925oA,2024-06-28T14:29:14.436115Z
Dua Lipa,"The official YouTube channel for Dua Lipa.

Born and raised in London to Kosovar-Albanian parents, Dua Lipa signed to Warner Records in 2015 releasing her self titled debut in 2017 which featured the hit singles, 'Be The One', 'IDGAF', 'Hotter Than Hell' & her first UK #1 hit 'New Rules'. 

Critical success soon followed as Dua Lipa picked up Brit Awards for 'Best Female Solo Artist' and 'Best British Breakthrough Act' as well as Grammy Awards for 'Best New Artist' and 'Best Dance Recording' for the track 'Electricity' in collaboration with Silk City.

Her second internationally acclaimed studio album 'Future Nostalgia' was released in 2020 and included the hit singles 'Don't Start Now, 'Break My Heart', 'Hallucinate' and 'Levitating', with the remix album 'Club Future Nostalgia' following shortly after featuring guest appearances from 'Blackpink', 'Missy Elliott', 'Madonna' and 'Gwen Stefani'.",UC-J-KZfRV8c13fOCkhXdLiQ,2017-07-20T14:10:28Z
PlayStationGrenade,PlayStationGrenade is here. Come join our dysfunctional family.,UC-KM4Su6AEkUNea4TnYbBBg,2018-08-19T09:35:41.523965Z
SnoopDoggTV,"Official Snoop Dogg Channel
Subscribe now for new GGN and music videos!",UC-OO324clObi3H-U0bP77dw,2019-02-18T22:29:09.345667Z
Tricks HR,Hip Hop artist,UC-OQby169yMuaNzf-j3aGww,2021-02-11T12:20:05.484857Z
Kalahi,,UC-R2drjtEqJ-IS8z7WDYqWw,2017-03-23T14:05:32Z
Twenty88VEVO,,UC-Tctyf6EllB4bmHD8_MfQg,2016-04-20T21:41:32Z
FraulesGirl,"INTERNATIONAL CHOREOGRAPHER FRAULES 
INSTAGRAM: @fraules

Tutorials and dance courses - more are coming!!

-HEELS, Twerk, Dancehall and Vogue Queen
-Dancer, teacher and choreographer, 
- Founder: Fraules Dance Centre

CONTACT: elenayatkina@gmail.com
https://www.facebook.com/elena.yatkina
vk.com/fraules
instagram.com/fraules",UC-TjNpY3nUxqR1E0pkHooZw,2015-03-12T09:58:08Z
Data Won't Save You,"Data Won't Save You discusses Analytics,  Artificial Intelligence (AI), Data Strategy and everything in between",UC-UEC_6A1lPuIkEXXW7gZkQ,2025-05-10T09:00:57.740941Z
Sharlene Mogere,"Hey My Lovelies, this channel is all about Tips and advice on how to mentally and physically Level up and Grow! You already know the vibes , we keep it positive , fun and amazing . Stick around and you'll, i promise ,enjoy it here . 

Bless up !",UC-VFR5fMpNPJ13FY2UejpoA,2021-01-03T21:15:53.057361Z
Tinashe,"Sweet T

TICKETS ON SALE FOR TOUR: 
https://www.tinashenow.com/live",UC-W8ijF4CaFAwqNUpB__qPg,2018-04-07T12:52:41.550619Z
Pascal Tokodi Archives ,,UC-X2O8FwEJlo4kkg0_ND5qA,2016-04-11T19:07:25Z
T Pain,"T-Pain on Vevo - Official Music Videos, Live Performances, Interviews and more...",UC-aupv24Ky1Z8asbtmeJolQ,2018-03-15T22:06:05.781838Z
Mitchelle Adagala,,UC-ca2TXfT_rY462Yv_AB_Cw,2018-01-05T09:05:25.856413Z
